,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,imputed,pipeline_category
2188,0.21923077,7.329197,64.0,1,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2189,0.13846155,5.240024,64.0,1,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2190,0.2653846,5.155018,64.0,1,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2191,0.29871795,3.598739,64.0,1,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2192,0.28076923,8.325863,64.0,2,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2193,0.31153846,11.515432,64.0,2,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2194,0.42179486,8.488324,64.0,2,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2195,0.63974357,4.249499,64.0,2,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2196,0.21923077,7.0064588,64.0,3,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2197,0.37307692,10.12789,64.0,3,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2198,0.45384616,7.9187727,64.0,3,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2199,0.86025643,9.8536,64.0,3,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2200,0.3474359,7.9705496,64.0,4,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2201,0.30128205,12.510758,64.0,4,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2202,0.64358974,7.712165,64.0,4,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2203,0.5307692,5.7552843,64.0,4,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2204,0.17307693,5.8666325,64.0,5,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2205,0.17051283,12.505417,64.0,5,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2206,0.2653846,7.4677725,64.0,5,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2207,0.51666665,6.5494046,64.0,5,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2208,0.25,6.645645,64.0,6,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2209,0.29871795,5.595985,64.0,6,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2210,0.43589744,8.310292,64.0,6,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2211,0.51282054,6.2190337,64.0,6,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2212,0.22894737,5.8934975,96.0,7,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2213,0.27157894,15.776635,96.0,7,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2214,0.5942105,11.684935,96.0,7,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2215,0.5936842,10.104057,96.0,7,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2216,0.25,7.7633133,64.0,8,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2217,0.2846154,5.583252,64.0,8,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2218,0.2,3.4723365,64.0,8,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2219,0.54615384,6.11526,64.0,8,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2220,0.25,6.027834,64.0,9,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2221,0.23333333,12.978786,64.0,9,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2222,0.29358974,5.0041485,64.0,9,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2223,0.34615386,4.0396466,64.0,9,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2224,0.25784615,7.8762264,128.0,10,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2225,0.3603077,7.4004955,128.0,10,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2226,0.4923077,10.184491,128.0,10,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2227,0.4529231,6.165485,128.0,10,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2228,0.26794872,6.3167005,64.0,11,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2229,0.37564102,13.37744,64.0,11,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2230,0.25,4.991477,64.0,11,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2231,0.40128204,4.552823,64.0,11,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2232,0.23125,6.566088,160.0,12,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2233,0.64375,16.6518,160.0,12,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2234,0.90625,10.345552,160.0,12,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2235,0.83125,11.513055,160.0,12,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2668,0.92,26.741247,100.0,1,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2669,0.97,100.05207,100.0,1,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2670,0.67,14.7064905,100.0,1,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2671,0.75,35.29422,100.0,1,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2672,0.84,24.709017,100.0,1,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2673,0.25,10800.0,100.0,1,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,True,Deep Learning
"2674,0.41,11.159056,100.0,1,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2675,0.51,12.703137,100.0,1,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2676,1.0,26.337442,100.0,2,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2677,1.0,98.87889,100.0,2,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2678,0.98,16.90461,100.0,2,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2679,0.84,33.81189,100.0,2,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2680,0.97,25.136229,100.0,2,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2681,0.98,98.98165,100.0,2,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2682,0.9,16.165386,100.0,2,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2683,0.7,29.092981,100.0,2,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2684,0.81,25.529829,100.0,3,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2685,0.9,98.79801,100.0,3,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2686,0.29,12.061925,100.0,3,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2687,0.64,124.25413,100.0,3,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2688,0.95,24.728176,100.0,3,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2689,0.97,87.57171,100.0,3,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2690,0.86,16.301231,100.0,3,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2691,0.81,141.785,100.0,3,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2692,1.0,25.429113,100.0,4,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2693,1.0,98.872826,100.0,4,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2694,0.99,16.533478,100.0,4,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2695,0.95,33.87228,100.0,4,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2696,1.0,24.621618,100.0,4,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2697,1.0,98.52217,100.0,4,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2698,1.0,15.750088,100.0,4,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2699,0.99,33.485714,100.0,4,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2700,0.52,16.628847,100.0,5,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2701,0.68,72.0946,100.0,5,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2702,0.34,11.306358,100.0,5,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2703,0.36,11.978118,100.0,5,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2704,0.97,24.733204,100.0,5,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2705,1.0,97.75995,100.0,5,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2706,0.48,10.862708,100.0,5,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2707,0.75,25.326881,100.0,5,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2708,0.98,25.114609,100.0,6,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2709,1.0,98.65762,100.0,6,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2710,0.94,16.398726,100.0,6,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2711,0.82,34.30954,100.0,6,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2712,0.99,24.944845,100.0,6,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2713,1.0,99.19267,100.0,6,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2714,0.97,15.941445,100.0,6,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2715,0.72,25.835264,100.0,6,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2716,1.0,25.898972,100.0,7,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2717,1.0,98.09572,100.0,7,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2718,0.99,16.36277,100.0,7,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2719,0.94,33.831814,100.0,7,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2720,0.99,25.612185,100.0,7,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2721,0.99,99.14267,100.0,7,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2722,1.0,15.9512825,100.0,7,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2723,0.93,29.75062,100.0,7,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2724,0.66,20.59118,100.0,8,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2725,0.89,97.50237,100.0,8,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2726,0.33,8.521947,100.0,8,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2727,0.37,17.399757,100.0,8,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2728,0.87,21.899227,100.0,8,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2729,1.0,97.533905,100.0,8,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2730,0.72,15.335574,100.0,8,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2731,0.47,12.183213,100.0,8,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2732,0.98,25.19091,100.0,9,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2733,0.98,97.00639,100.0,9,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2734,0.81,15.932178,100.0,9,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2735,0.84,34.172348,100.0,9,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2736,0.95,25.492285,100.0,9,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2737,0.98,92.00397,100.0,9,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2738,0.72,14.865012,100.0,9,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2739,0.64,33.652023,100.0,9,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2740,0.6,14.832916,100.0,10,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2741,1.0,98.61598,100.0,10,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2742,0.55,10.774239,100.0,10,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2743,0.72,33.91419,100.0,10,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2744,0.48,14.590559,100.0,10,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2745,1.0,99.16705,100.0,10,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2746,0.97,15.750529,100.0,10,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2747,0.85,33.238388,100.0,10,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2748,1.0,24.946232,100.0,11,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2749,1.0,97.75379,100.0,11,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2750,1.0,16.570065,100.0,11,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2751,1.0,34.23412,100.0,11,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2752,0.93,22.539375,100.0,11,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2753,1.0,98.711586,100.0,11,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2754,0.99,17.235056,100.0,11,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2755,0.99,34.00402,100.0,11,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2756,0.99,24.944128,100.0,12,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2757,0.99,97.24087,100.0,12,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2758,1.0,16.620565,100.0,12,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2759,0.99,33.71069,100.0,12,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2760,0.95,25.159908,100.0,12,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2761,0.95,98.1959,100.0,12,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2762,0.83,16.493597,100.0,12,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2763,0.86,33.304214,100.0,12,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2764,0.91,24.937387,100.0,13,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2765,0.97,98.08075,100.0,13,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2766,0.47,10.456751,100.0,13,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2767,0.44,13.470716,100.0,13,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2768,0.73,20.023502,100.0,13,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2769,0.94,96.867836,100.0,13,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2770,0.66,14.973877,100.0,13,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2771,0.62,26.535845,100.0,13,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2772,0.4,10.321393,100.0,14,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2773,0.96,99.60471,100.0,14,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2774,0.24,6.2346644,100.0,14,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2775,0.42,13.703824,100.0,14,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2776,0.85,24.566612,100.0,14,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
