,score,time,session,dataset,pipeline,paradigm
0,0.06237254961263043,0.324096292,session_0,BNCI2014-009,MDM,P300
1,0.0782242989117735,1.2844936400000002,session_0,BNCI2014-009,ERPCov + MDM,P300
2,0.040748605735740816,0.44969449800000005,session_0,BNCI2014-009,XDAWN + LDA,P300
3,0.06842627992739439,1.29664059,session_0,BNCI2014-009,TS + SVM,P300
4,0.06626128773248141,0.27728068499999997,session_0,BNCI2014-009,ERPCov(svd_n=4) + MDM,P300
5,0.02502465183623033,0.301639559,session_1,BNCI2014-009,MDM,P300
6,0.08498464713162854,1.10301397,session_1,BNCI2014-009,ERPCov + MDM,P300
7,0.0390652956348678,0.376888752,session_1,BNCI2014-009,XDAWN + LDA,P300
8,0.023755729610349493,1.1886002999999998,session_1,BNCI2014-009,TS + SVM,P300
9,0.05974480229405887,0.27859604299999996,session_1,BNCI2014-009,ERPCov(svd_n=4) + MDM,P300
10,0.07488684228895578,0.31242149,session_2,BNCI2014-009,MDM,P300
11,0.12260047121576295,1.164036646,session_2,BNCI2014-009,ERPCov + MDM,P300
12,0.037190186576837835,0.39811922600000005,session_2,BNCI2014-009,XDAWN + LDA,P300
13,0.04873825762701842,1.24471628,session_2,BNCI2014-009,TS + SVM,P300
14,0.11760585660092582,0.266228713,session_2,BNCI2014-009,ERPCov(svd_n=4) + MDM,P300
15,0.0,4.492826,subject01_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
16,0.0,5.6743574,subject01_block_1,Huebner2017,MDM,P300
17,0.0,10.343598,subject01_block_1,Huebner2017,TS + SVM,P300
18,0.0,31.949093,subject01_block_1,Huebner2017,ERPCov + MDM,P300
19,0.0,28.749731,subject01_block_1,Huebner2017,XDAWN + LDA,P300
20,0.0,3.6549642,subject01_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
21,0.0,5.0989747,subject01_block_2,Huebner2017,MDM,P300
22,0.0,9.904959,subject01_block_2,Huebner2017,TS + SVM,P300
23,0.0,29.895008,subject01_block_2,Huebner2017,ERPCov + MDM,P300
24,0.0,26.96326,subject01_block_2,Huebner2017,XDAWN + LDA,P300
25,0.0,4.02332,subject01_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
26,0.0,5.4907966,subject01_block_3,Huebner2017,MDM,P300
27,0.0,9.911792,subject01_block_3,Huebner2017,TS + SVM,P300
28,0.0,30.924978,subject01_block_3,Huebner2017,ERPCov + MDM,P300
29,0.0,27.396175,subject01_block_3,Huebner2017,XDAWN + LDA,P300
30,0.0,3.8104875,subject02_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
31,0.0,4.956297,subject02_block_1,Huebner2017,MDM,P300
32,0.0,9.936037,subject02_block_1,Huebner2017,TS + SVM,P300
33,0.0,28.043365,subject02_block_1,Huebner2017,ERPCov + MDM,P300
34,0.0,26.334959,subject02_block_1,Huebner2017,XDAWN + LDA,P300
35,0.0,4.060749,subject02_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
36,0.0,5.0244393,subject02_block_2,Huebner2017,MDM,P300
37,0.0,9.777186,subject02_block_2,Huebner2017,TS + SVM,P300
38,0.0,26.68351,subject02_block_2,Huebner2017,ERPCov + MDM,P300
39,0.0,27.526766,subject02_block_2,Huebner2017,XDAWN + LDA,P300
40,0.0,3.652364,subject02_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
41,0.0,4.0994954,subject02_block_3,Huebner2017,MDM,P300
42,0.0,9.962728,subject02_block_3,Huebner2017,TS + SVM,P300
43,0.0,26.688465,subject02_block_3,Huebner2017,ERPCov + MDM,P300
44,0.0,29.931854,subject02_block_3,Huebner2017,XDAWN + LDA,P300
45,0.0,4.151512,subject03_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
46,0.0,4.924397,subject03_block_1,Huebner2017,MDM,P300
47,0.0,10.063264,subject03_block_1,Huebner2017,TS + SVM,P300
48,0.0,31.027637,subject03_block_1,Huebner2017,ERPCov + MDM,P300
49,0.0,26.80928,subject03_block_1,Huebner2017,XDAWN + LDA,P300
50,0.0,4.0080447,subject03_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
51,0.0,4.4821544,subject03_block_2,Huebner2017,MDM,P300
52,0.0,9.638929,subject03_block_2,Huebner2017,TS + SVM,P300
53,0.0,30.169647,subject03_block_2,Huebner2017,ERPCov + MDM,P300
54,0.0,28.02793,subject03_block_2,Huebner2017,XDAWN + LDA,P300
55,0.0,3.8929107,subject03_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
56,0.0,4.3585854,subject03_block_3,Huebner2017,MDM,P300
57,0.0,9.857515,subject03_block_3,Huebner2017,TS + SVM,P300
58,0.0,27.964092,subject03_block_3,Huebner2017,ERPCov + MDM,P300
59,0.0,28.735954,subject03_block_3,Huebner2017,XDAWN + LDA,P300
60,0.0,4.144643,subject04_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
61,0.0,4.5333624,subject04_block_1,Huebner2017,MDM,P300
62,0.0,9.585759,subject04_block_1,Huebner2017,TS + SVM,P300
63,0.0,27.207191,subject04_block_1,Huebner2017,ERPCov + MDM,P300
64,0.0,28.65681,subject04_block_1,Huebner2017,XDAWN + LDA,P300
65,0.0,3.727906,subject04_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
66,0.0,4.3895025,subject04_block_2,Huebner2017,MDM,P300
67,0.0,9.712349,subject04_block_2,Huebner2017,TS + SVM,P300
68,0.0,27.604935,subject04_block_2,Huebner2017,ERPCov + MDM,P300
69,0.0,28.078596,subject04_block_2,Huebner2017,XDAWN + LDA,P300
70,0.0,3.625031,subject04_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
71,0.0,4.219012,subject04_block_3,Huebner2017,MDM,P300
72,0.0,9.756755,subject04_block_3,Huebner2017,TS + SVM,P300
73,0.0,27.557392,subject04_block_3,Huebner2017,ERPCov + MDM,P300
74,0.0,28.278913,subject04_block_3,Huebner2017,XDAWN + LDA,P300
75,0.0,4.2132463,subject05_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
76,0.0,4.766818,subject05_block_1,Huebner2017,MDM,P300
77,0.0,9.799967,subject05_block_1,Huebner2017,TS + SVM,P300
78,0.0,28.728397,subject05_block_1,Huebner2017,ERPCov + MDM,P300
79,0.0,25.453876,subject05_block_1,Huebner2017,XDAWN + LDA,P300
80,0.0,3.9486144,subject05_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
81,0.0,4.3849654,subject05_block_2,Huebner2017,MDM,P300
82,0.0,9.901225,subject05_block_2,Huebner2017,TS + SVM,P300
83,0.0,27.93123,subject05_block_2,Huebner2017,ERPCov + MDM,P300
84,0.0,25.183079,subject05_block_2,Huebner2017,XDAWN + LDA,P300
85,0.0,4.2494183,subject05_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
86,0.0,4.696134,subject05_block_3,Huebner2017,MDM,P300
87,0.0,10.025212,subject05_block_3,Huebner2017,TS + SVM,P300
88,0.0,27.30584,subject05_block_3,Huebner2017,ERPCov + MDM,P300
89,0.0,26.496548,subject05_block_3,Huebner2017,XDAWN + LDA,P300
90,0.0,3.9704993,subject06_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
91,0.0,5.4799547,subject06_block_1,Huebner2017,MDM,P300
92,0.0,9.816458,subject06_block_1,Huebner2017,TS + SVM,P300
93,0.0,29.012259,subject06_block_1,Huebner2017,ERPCov + MDM,P300
94,0.0,26.070534,subject06_block_1,Huebner2017,XDAWN + LDA,P300
95,0.0,4.354537,subject06_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
96,0.0,4.48487,subject06_block_3,Huebner2017,MDM,P300
97,0.0,9.535609,subject06_block_3,Huebner2017,TS + SVM,P300
98,0.0,26.670036,subject06_block_3,Huebner2017,ERPCov + MDM,P300
99,0.0,25.412031,subject06_block_3,Huebner2017,XDAWN + LDA,P300
100,0.0,3.8852932,subject07_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
101,0.0,5.087359,subject07_block_1,Huebner2017,MDM,P300
102,0.0,9.421425,subject07_block_1,Huebner2017,TS + SVM,P300
103,0.0,26.838104,subject07_block_1,Huebner2017,ERPCov + MDM,P300
104,0.0,25.772297,subject07_block_1,Huebner2017,XDAWN + LDA,P300
105,0.0,3.6837862,subject07_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
106,0.0,5.117012,subject07_block_2,Huebner2017,MDM,P300
107,0.0,9.629874,subject07_block_2,Huebner2017,TS + SVM,P300
108,0.0,26.658476,subject07_block_2,Huebner2017,ERPCov + MDM,P300
109,0.0,24.655369,subject07_block_2,Huebner2017,XDAWN + LDA,P300
110,0.0,3.4497359,subject07_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
111,0.0,5.0970488,subject07_block_3,Huebner2017,MDM,P300
112,0.0,9.325709,subject07_block_3,Huebner2017,TS + SVM,P300
113,0.0,26.91976,subject07_block_3,Huebner2017,ERPCov + MDM,P300
114,0.0,26.304075,subject07_block_3,Huebner2017,XDAWN + LDA,P300
115,0.0,4.388516,subject08_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
116,0.0,5.3411374,subject08_block_1,Huebner2017,MDM,P300
117,0.0,9.928695,subject08_block_1,Huebner2017,TS + SVM,P300
118,0.0,26.962248,subject08_block_1,Huebner2017,ERPCov + MDM,P300
119,0.0,25.303827,subject08_block_1,Huebner2017,XDAWN + LDA,P300
120,0.0,4.026958,subject08_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
121,0.0,5.0582113,subject08_block_2,Huebner2017,MDM,P300
122,0.0,12.3317,subject08_block_2,Huebner2017,TS + SVM,P300
123,0.0,27.22296,subject08_block_2,Huebner2017,ERPCov + MDM,P300
124,0.0,25.440022,subject08_block_2,Huebner2017,XDAWN + LDA,P300
125,0.0,3.6685266,subject08_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
126,0.0,5.28513,subject08_block_3,Huebner2017,MDM,P300
127,0.0,11.028139,subject08_block_3,Huebner2017,TS + SVM,P300
128,0.0,27.790804,subject08_block_3,Huebner2017,ERPCov + MDM,P300
129,0.0,25.353317,subject08_block_3,Huebner2017,XDAWN + LDA,P300
130,0.0,5.297084,subject09_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
131,0.0,5.3265247,subject09_block_1,Huebner2017,MDM,P300
132,0.0,8.983036,subject09_block_1,Huebner2017,TS + SVM,P300
133,0.0,36.304886,subject09_block_1,Huebner2017,ERPCov + MDM,P300
134,0.0,25.168188,subject09_block_1,Huebner2017,XDAWN + LDA,P300
135,0.0,3.420733,subject09_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
136,0.0,4.8842354,subject09_block_2,Huebner2017,MDM,P300
137,0.0,10.663576,subject09_block_2,Huebner2017,TS + SVM,P300
138,0.0,24.486912,subject09_block_2,Huebner2017,ERPCov + MDM,P300
139,0.0,24.8864,subject09_block_2,Huebner2017,XDAWN + LDA,P300
140,0.0,3.6592941,subject09_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
141,0.0,4.615906,subject09_block_3,Huebner2017,MDM,P300
142,0.0,11.04962,subject09_block_3,Huebner2017,TS + SVM,P300
143,0.0,24.87902,subject09_block_3,Huebner2017,ERPCov + MDM,P300
144,0.0,25.092505,subject09_block_3,Huebner2017,XDAWN + LDA,P300
145,0.0,3.835277,subject10_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
146,0.0,4.884851,subject10_block_1,Huebner2017,MDM,P300
147,0.0,10.785368,subject10_block_1,Huebner2017,TS + SVM,P300
148,0.0,24.318602,subject10_block_1,Huebner2017,ERPCov + MDM,P300
149,0.0,25.036997,subject10_block_1,Huebner2017,XDAWN + LDA,P300
150,0.0,4.062308,subject10_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
151,0.0,4.2780886,subject10_block_2,Huebner2017,MDM,P300
152,0.0,9.405456,subject10_block_2,Huebner2017,TS + SVM,P300
153,0.0,26.722315,subject10_block_2,Huebner2017,ERPCov + MDM,P300
154,0.0,24.776888,subject10_block_2,Huebner2017,XDAWN + LDA,P300
155,0.0,3.8170857,subject10_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
156,0.0,4.4048557,subject10_block_3,Huebner2017,MDM,P300
157,0.0,11.338371,subject10_block_3,Huebner2017,TS + SVM,P300
158,0.0,25.73612,subject10_block_3,Huebner2017,ERPCov + MDM,P300
159,0.0,24.765219,subject10_block_3,Huebner2017,XDAWN + LDA,P300
160,0.0,4.7247176,subject11_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
161,0.0,5.0896807,subject11_block_1,Huebner2017,MDM,P300
162,0.0,11.320822,subject11_block_1,Huebner2017,TS + SVM,P300
163,0.0,29.607794,subject11_block_1,Huebner2017,ERPCov + MDM,P300
164,0.0,24.757498,subject11_block_1,Huebner2017,XDAWN + LDA,P300
165,0.0,4.4689226,subject11_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
166,0.0,4.475043,subject11_block_2,Huebner2017,MDM,P300
167,0.0,9.940042,subject11_block_2,Huebner2017,TS + SVM,P300
168,0.0,29.848581,subject11_block_2,Huebner2017,ERPCov + MDM,P300
169,0.0,24.245707,subject11_block_2,Huebner2017,XDAWN + LDA,P300
170,0.0,4.820945,subject11_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
171,0.0,4.7963433,subject11_block_3,Huebner2017,MDM,P300
172,0.0,11.680642,subject11_block_3,Huebner2017,TS + SVM,P300
173,0.0,29.797085,subject11_block_3,Huebner2017,ERPCov + MDM,P300
174,0.0,25.874,subject11_block_3,Huebner2017,XDAWN + LDA,P300
175,0.0,4.3543205,subject12_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
176,0.0,4.9978695,subject12_block_1,Huebner2017,MDM,P300
177,0.0,10.085651,subject12_block_1,Huebner2017,TS + SVM,P300
178,0.0,23.291735,subject12_block_1,Huebner2017,ERPCov + MDM,P300
179,0.0,24.510098,subject12_block_1,Huebner2017,XDAWN + LDA,P300
180,0.0,3.8600595,subject12_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
181,0.0,5.1445904,subject12_block_2,Huebner2017,MDM,P300
182,0.0,9.095775,subject12_block_2,Huebner2017,TS + SVM,P300
183,0.0,25.116611,subject12_block_2,Huebner2017,ERPCov + MDM,P300
184,0.0,23.995468,subject12_block_2,Huebner2017,XDAWN + LDA,P300
185,0.0,3.70867,subject12_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
186,0.0,5.1350384,subject12_block_3,Huebner2017,MDM,P300
187,0.0,9.90553,subject12_block_3,Huebner2017,TS + SVM,P300
188,0.0,25.614939,subject12_block_3,Huebner2017,ERPCov + MDM,P300
189,0.0,23.725996,subject12_block_3,Huebner2017,XDAWN + LDA,P300
190,0.0,4.742031,subject13_block_1,Huebner2017,ERPCov(svd_n=4) + MDM,P300
191,0.0,4.349578,subject13_block_1,Huebner2017,MDM,P300
192,0.0,11.210184,subject13_block_1,Huebner2017,TS + SVM,P300
193,0.0,27.081102,subject13_block_1,Huebner2017,ERPCov + MDM,P300
194,0.0,23.45112,subject13_block_1,Huebner2017,XDAWN + LDA,P300
195,0.0,4.854157,subject13_block_2,Huebner2017,ERPCov(svd_n=4) + MDM,P300
196,0.0,4.425799,subject13_block_2,Huebner2017,MDM,P300
197,0.0,9.490833,subject13_block_2,Huebner2017,TS + SVM,P300
198,0.0,29.186058,subject13_block_2,Huebner2017,ERPCov + MDM,P300
199,0.0,24.573969,subject13_block_2,Huebner2017,XDAWN + LDA,P300
200,0.0,4.403903,subject13_block_3,Huebner2017,ERPCov(svd_n=4) + MDM,P300
201,0.0,5.314857,subject13_block_3,Huebner2017,MDM,P300
202,0.0,8.752879,subject13_block_3,Huebner2017,TS + SVM,P300
203,0.0,30.89672,subject13_block_3,Huebner2017,ERPCov + MDM,P300
204,0.0,24.168636,subject13_block_3,Huebner2017,XDAWN + LDA,P300
205,0.0,5.106906,subject01_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
206,0.0,32.45581,subject01_block_1,Huebner2018,ERPCov + MDM,P300
207,0.0,34.02301,subject01_block_1,Huebner2018,XDAWN + LDA,P300
208,0.0,5.428841,subject01_block_1,Huebner2018,MDM,P300
209,0.0,10.230813,subject01_block_1,Huebner2018,TS + SVM,P300
210,0.0,4.57274,subject01_block_2,Huebner2018,ERPCov(svd_n=4) + MDM,P300
211,0.0,34.349937,subject01_block_2,Huebner2018,ERPCov + MDM,P300
212,0.0,32.93685,subject01_block_2,Huebner2018,XDAWN + LDA,P300
213,0.0,4.5138254,subject01_block_2,Huebner2018,MDM,P300
214,0.0,9.624753,subject01_block_2,Huebner2018,TS + SVM,P300
215,0.0,4.429109,subject01_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
216,0.0,37.080444,subject01_block_3,Huebner2018,ERPCov + MDM,P300
217,0.0,33.5551,subject01_block_3,Huebner2018,XDAWN + LDA,P300
218,0.0,4.3802595,subject01_block_3,Huebner2018,MDM,P300
219,0.0,9.489111,subject01_block_3,Huebner2018,TS + SVM,P300
220,0.0,3.5467439,subject02_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
221,0.0,29.894552,subject02_block_1,Huebner2018,ERPCov + MDM,P300
222,0.0,32.814114,subject02_block_1,Huebner2018,XDAWN + LDA,P300
223,0.0,4.835204,subject02_block_1,Huebner2018,MDM,P300
224,0.0,9.96019,subject02_block_1,Huebner2018,TS + SVM,P300
225,0.0,3.5740201,subject02_block_2,Huebner2018,ERPCov(svd_n=4) + MDM,P300
226,0.0,30.813484,subject02_block_2,Huebner2018,ERPCov + MDM,P300
227,0.0,30.455408,subject02_block_2,Huebner2018,XDAWN + LDA,P300
228,0.0,4.6172047,subject02_block_2,Huebner2018,MDM,P300
229,0.0,9.628945,subject02_block_2,Huebner2018,TS + SVM,P300
230,0.0,3.4644518,subject02_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
231,0.0,30.902075,subject02_block_3,Huebner2018,ERPCov + MDM,P300
232,0.0,30.973671,subject02_block_3,Huebner2018,XDAWN + LDA,P300
233,0.0,7.8653135,subject02_block_3,Huebner2018,MDM,P300
234,0.0,9.83724,subject02_block_3,Huebner2018,TS + SVM,P300
235,0.0,3.7818923,subject03_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
236,0.0,34.756924,subject03_block_1,Huebner2018,ERPCov + MDM,P300
237,0.0,30.75161,subject03_block_1,Huebner2018,XDAWN + LDA,P300
238,0.0,4.580168,subject03_block_1,Huebner2018,MDM,P300
239,0.0,9.706418,subject03_block_1,Huebner2018,TS + SVM,P300
