,Score,time,subject,nb_cal,clf,score_01
217,0.68,1.4342592592592593,7,1,Xdawn+RG+LDA,0.6789626288659794
218,0.59,1.393589743589744,7,1,Xdawn+RG+SVC,0.5703148011782033
219,0.61,1.423684210526316,7,1,Xdawn+LDA,0.6666099042709868
220,0.83,1.514227642276423,7,2,Xdawn+RG+MDM,0.7507087628865979
221,0.77,1.4344086021505382,7,2,Xdawn+RG+LDA,0.6780779143536875
222,0.69,1.4337301587301587,7,2,Xdawn+RG+SVC,0.6257979777954005
223,0.87,1.427450980392157,7,2,Xdawn+LDA,0.7225713719270421
224,0.88,1.4602150537634413,7,3,Xdawn+RG+MDM,0.7449205326460482
225,0.73,1.3979166666666665,7,3,Xdawn+RG+LDA,0.6910438144329897
226,0.83,1.4595238095238097,7,3,Xdawn+RG+SVC,0.6576353092783505
227,0.9,1.4267543859649126,7,3,Xdawn+LDA,0.7360395189003437
228,0.91,1.5101851851851853,7,4,Xdawn+RG+MDM,0.7575503748828492
229,0.93,1.462962962962963,7,4,Xdawn+RG+LDA,0.7215674789128398
230,0.82,1.4376190476190478,7,4,Xdawn+RG+SVC,0.6717607778819119
231,0.86,1.4407407407407409,7,4,Xdawn+LDA,0.749619259606373
232,0.98,1.4255208333333331,7,5,Xdawn+RG+MDM,0.7921520618556701
233,0.92,1.4019607843137254,7,5,Xdawn+RG+LDA,0.7260309278350515
234,0.85,1.4494623655913983,7,5,Xdawn+RG+SVC,0.670270618556701
235,0.9,1.3904040404040403,7,5,Xdawn+LDA,0.7607538659793814
236,0.94,1.3822916666666667,7,6,Xdawn+RG+MDM,0.8178908934707905
237,0.94,1.4328124999999998,7,6,Xdawn+RG+LDA,0.7551045246277205
238,0.83,1.399404761904762,7,6,Xdawn+RG+SVC,0.6904997136311569
239,0.92,1.3758620689655174,7,6,Xdawn+LDA,0.766881443298969
240,0.97,1.4250000000000003,7,7,Xdawn+RG+MDM,0.8112596649484536
241,0.97,1.4117283950617283,7,7,Xdawn+RG+LDA,0.7574259020618557
242,0.97,1.3919753086419755,7,7,Xdawn+RG+SVC,0.7144007731958764
243,0.97,1.4222222222222225,7,7,Xdawn+LDA,0.7749355670103093
244,0.93,1.451923076923077,7,8,Xdawn+RG+MDM,0.8035069955817378
245,1.0,1.4076388888888889,7,8,Xdawn+RG+LDA,0.737730117820324
246,0.93,1.3630434782608696,7,8,Xdawn+RG+SVC,0.6951491163475699
247,0.96,1.4597222222222221,7,8,Xdawn+LDA,0.7703148011782033
248,0.83,1.441269841269841,7,9,Xdawn+RG+MDM,0.8104166666666667
249,1.0,1.413768115942029,7,9,Xdawn+RG+LDA,0.7406894329896907
250,1.0,1.3949275362318838,7,9,Xdawn+RG+SVC,0.7091387457044673
251,0.96,1.421014492753623,7,9,Xdawn+LDA,0.7701890034364262
252,0.86,1.4612403100775195,8,1,Xdawn+RG+MDM,0.7029224963181149
253,0.84,1.4143410852713179,8,1,Xdawn+RG+LDA,0.7151049337260678
254,0.52,1.3487499999999997,8,1,Xdawn+RG+SVC,0.5342139175257732
255,0.91,1.430072463768116,8,1,Xdawn+LDA,0.7195968335787923
256,0.88,1.4139534883720932,8,2,Xdawn+RG+MDM,0.8151814036478985
257,0.9,1.4063492063492065,8,2,Xdawn+RG+LDA,0.7801893338620143
258,0.83,1.4244444444444444,8,2,Xdawn+RG+SVC,0.6667426645519429
259,0.94,1.4184397163120566,8,2,Xdawn+LDA,0.8020618556701031
260,0.94,1.446581196581197,8,3,Xdawn+RG+MDM,0.7816795532646048
261,0.96,1.4402439024390243,8,3,Xdawn+RG+LDA,0.7962145618556701
262,0.81,1.4342105263157898,8,3,Xdawn+RG+SVC,0.6559493127147766
263,0.85,1.4091666666666665,8,3,Xdawn+LDA,0.7959783075601374
264,0.95,1.4017094017094018,8,4,Xdawn+RG+MDM,0.827682755388941
265,0.91,1.4075,8,4,Xdawn+RG+LDA,0.8081068416119963
266,0.95,1.4271929824561405,8,4,Xdawn+RG+SVC,0.698043580131209
267,0.93,1.4149572649572653,8,4,Xdawn+LDA,0.7976745548266166
268,0.98,1.3534313725490197,8,5,Xdawn+RG+MDM,0.849188144329897
269,0.92,1.3792792792792794,8,5,Xdawn+RG+LDA,0.7980863402061855
270,0.98,1.3640350877192986,8,5,Xdawn+RG+SVC,0.7517010309278351
271,0.95,1.3973684210526318,8,5,Xdawn+LDA,0.8411791237113402
272,1.0,1.3580952380952382,8,6,Xdawn+RG+MDM,0.833684135166094
273,1.0,1.3549019607843138,8,6,Xdawn+RG+LDA,0.8115406643757159
274,0.92,1.3435483870967746,8,6,Xdawn+RG+SVC,0.7488903207331042
275,1.0,1.3754629629629633,8,6,Xdawn+LDA,0.8580684421534936
276,0.94,1.3629629629629632,8,7,Xdawn+RG+MDM,0.8129671391752578
277,0.97,1.3892473118279574,8,7,Xdawn+RG+LDA,0.8086259664948454
278,1.0,1.3961111111111115,8,7,Xdawn+RG+SVC,0.7331105025773196
279,1.0,1.372777777777778,8,7,Xdawn+LDA,0.8645054768041237
280,0.96,1.364814814814815,8,8,Xdawn+RG+MDM,0.8495489690721649
281,0.96,1.3920000000000001,8,8,Xdawn+RG+LDA,0.8112849779086893
282,0.96,1.4136904761904765,8,8,Xdawn+RG+SVC,0.7591863033873343
283,1.0,1.3820512820512822,8,8,Xdawn+LDA,0.8609628129602356
284,0.96,1.3841269841269839,8,9,Xdawn+RG+MDM,0.8381335910652921
285,0.96,1.371052631578947,8,9,Xdawn+RG+LDA,0.7888423539518901
286,1.0,1.4133333333333333,8,9,Xdawn+RG+SVC,0.7562822164948454
287,1.0,1.3818181818181816,8,9,Xdawn+LDA,0.8489798109965636
288,0.3,1.5217171717171718,9,1,Xdawn+RG+MDM,0.5493878865979381
289,0.32,1.5041666666666667,9,1,Xdawn+RG+LDA,0.5269606038291605
290,0.27,1.3426666666666662,9,1,Xdawn+RG+SVC,0.5029639175257732
291,0.5,1.4183760683760687,9,1,Xdawn+LDA,0.5564709131075111
292,0.58,1.5161616161616163,9,2,Xdawn+RG+MDM,0.5972690325138779
293,0.48,1.4833333333333334,9,2,Xdawn+RG+LDA,0.5491078509119747
294,0.21,1.4328703703703705,9,2,Xdawn+RG+SVC,0.5136201427438541
295,0.48,1.4594202898550723,9,2,Xdawn+LDA,0.5766851704996034
296,0.65,1.4580645161290327,9,3,Xdawn+RG+MDM,0.6456722508591065
297,0.6,1.4757575757575756,9,3,Xdawn+RG+LDA,0.6058902491408935
298,0.42,1.400555555555556,9,3,Xdawn+RG+SVC,0.5350622852233677
299,0.58,1.4494252873563223,9,3,Xdawn+LDA,0.5805949312714777
300,0.7,1.4246666666666667,9,4,Xdawn+RG+MDM,0.6414011246485474
301,0.75,1.4480392156862743,9,4,Xdawn+RG+LDA,0.6129217432052484
302,0.48,1.3838235294117647,9,4,Xdawn+RG+SVC,0.5423031865042174
303,0.61,1.4225806451612906,9,4,Xdawn+LDA,0.6048266166822868
304,0.68,1.4500000000000002,9,5,Xdawn+RG+MDM,0.6503414948453609
305,0.78,1.4489247311827957,9,5,Xdawn+RG+LDA,0.6037242268041236
306,0.5,1.4314814814814814,9,5,Xdawn+RG+SVC,0.5490463917525773
307,0.75,1.4536458333333333,9,5,Xdawn+LDA,0.6212242268041237
308,0.72,1.403571428571429,9,6,Xdawn+RG+MDM,0.6847436998854525
309,0.58,1.3954545454545453,9,6,Xdawn+RG+LDA,0.6132875143184422
310,0.5,1.4470238095238097,9,6,Xdawn+RG+SVC,0.5508447880870561
311,0.83,1.4907407407407407,9,6,Xdawn+LDA,0.636762600229095
312,0.88,1.4031746031746029,9,7,Xdawn+RG+MDM,0.6993476159793814
313,0.75,1.4354166666666668,9,7,Xdawn+RG+LDA,0.6457071520618557
314,0.53,1.4840277777777777,9,7,Xdawn+RG+SVC,0.5677029639175257
315,0.88,1.4333333333333333,9,7,Xdawn+LDA,0.6571762242268041
316,0.82,1.3499999999999996,9,8,Xdawn+RG+MDM,0.7110916789396171
317,0.75,1.4731884057971014,9,8,Xdawn+RG+LDA,0.6450478645066273
318,0.82,1.411111111111111,9,8,Xdawn+RG+SVC,0.5897183357879234
319,0.86,1.4522727272727272,9,8,Xdawn+LDA,0.663880706921944
320,0.75,1.4342592592592593,9,9,Xdawn+RG+MDM,0.7197057560137456
321,0.88,1.3722222222222222,9,9,Xdawn+RG+LDA,0.6476911512027491
322,0.75,1.4883333333333333,9,9,Xdawn+RG+SVC,0.5754188144329897
323,0.75,1.4725,9,9,Xdawn+LDA,0.6458870274914089
324,0.93,1.4572916666666667,10,1,Xdawn+RG+MDM,0.7479657584683358
325,0.88,1.4631944444444445,10,1,Xdawn+RG+LDA,0.7151233431516937
326,0.68,1.3780487804878048,10,1,Xdawn+RG+SVC,0.5993418630338734
327,0.95,1.430612244897959,10,1,Xdawn+LDA,0.8093796023564064
328,0.94,1.4277777777777778,10,2,Xdawn+RG+MDM,0.8434377478191911
329,0.98,1.4063829787234043,10,2,Xdawn+RG+LDA,0.8461984536082474
330,0.94,1.4030303030303033,10,2,Xdawn+RG+SVC,0.7347888580491674
331,1.0,1.4385620915032675,10,2,Xdawn+LDA,0.898443695479778
332,1.0,1.3992592592592592,10,3,Xdawn+RG+MDM,0.8782753436426116
333,0.98,1.412878787878788,10,3,Xdawn+RG+LDA,0.8367429123711341
334,0.94,1.425757575757576,10,3,Xdawn+RG+SVC,0.7666129725085911
335,1.0,1.433695652173913,10,3,Xdawn+LDA,0.9206131872852233
336,1.0,1.3852713178294573,10,4,Xdawn+RG+MDM,0.9033563730084349
337,1.0,1.4127906976744187,10,4,Xdawn+RG+LDA,0.8811738519212746
338,1.0,1.4055555555555554,10,4,Xdawn+RG+SVC,0.8546801780693534
339,1.0,1.4609848484848484,10,4,Xdawn+LDA,0.9190487347703842
340,1.0,1.4072649572649576,10,5,Xdawn+RG+MDM,0.8922100515463918
341,1.0,1.3973684210526318,10,5,Xdawn+RG+LDA,0.8924355670103092
342,0.98,1.4260683760683766,10,5,Xdawn+RG+SVC,0.8751481958762887
343,1.0,1.4303418803418806,10,5,Xdawn+LDA,0.9253414948453609
344,1.0,1.3907407407407408,10,6,Xdawn+RG+MDM,0.8963273195876289
345,1.0,1.4314814814814814,10,6,Xdawn+RG+LDA,0.8771048109965636
346,1.0,1.375980392156863,10,6,Xdawn+RG+SVC,0.8683061282932416
347,1.0,1.3936274509803923,10,6,Xdawn+LDA,0.9262027491408935
348,1.0,1.4255208333333333,10,7,Xdawn+RG+MDM,0.9051546391752577
349,1.0,1.3988505747126443,10,7,Xdawn+RG+LDA,0.9041559278350515
350,0.97,1.4000000000000006,10,7,Xdawn+RG+SVC,0.8629913015463917
351,1.0,1.4583333333333335,10,7,Xdawn+LDA,0.9502577319587628
352,1.0,1.4333333333333333,10,8,Xdawn+RG+MDM,0.9057069219440353
353,1.0,1.4273333333333331,10,8,Xdawn+RG+LDA,0.8987113402061856
354,0.96,1.406,10,8,Xdawn+RG+SVC,0.8803663475699558
355,1.0,1.4583333333333337,10,8,Xdawn+LDA,0.9550257731958762
356,1.0,1.4361111111111111,10,9,Xdawn+RG+MDM,0.9063573883161512
357,1.0,1.4833333333333334,10,9,Xdawn+RG+LDA,0.9048432130584192
358,1.0,1.4333333333333333,10,9,Xdawn+RG+SVC,0.8758698453608247
359,1.0,1.4442028985507245,10,9,Xdawn+LDA,0.9499248281786941
360,0.36,1.4308943089430894,11,1,Xdawn+RG+MDM,0.5337444771723122
361,0.71,1.4311111111111112,11,1,Xdawn+RG+LDA,0.5576675257731959
362,0.3,1.3373333333333333,11,1,Xdawn+RG+SVC,0.5043446244477172
363,0.34,1.3969135802469137,11,1,Xdawn+LDA,0.5394882179675994
364,0.58,1.4238636363636363,11,2,Xdawn+RG+MDM,0.6150178429817605
365,0.58,1.4090579710144926,11,2,Xdawn+RG+LDA,0.5874405233941317
366,0.48,1.367753623188406,11,2,Xdawn+RG+SVC,0.5219419111816019
367,0.63,1.5107843137254902,11,2,Xdawn+LDA,0.5682097541633624
368,0.9,1.457142857142857,11,3,Xdawn+RG+MDM,0.7382033934707903
369,0.69,1.3885964912280704,11,3,Xdawn+RG+LDA,0.6447916666666667
370,0.62,1.367592592592593,11,3,Xdawn+RG+SVC,0.5888960481099657
371,0.85,1.4273504273504274,11,3,Xdawn+LDA,0.6799667096219931
372,0.93,1.4370370370370373,11,4,Xdawn+RG+MDM,0.7623887066541706
373,0.84,1.3994252873563222,11,4,Xdawn+RG+LDA,0.6821227741330834
374,0.84,1.4385714285714286,11,4,Xdawn+RG+SVC,0.6427893626991565
375,0.93,1.398648648648649,11,4,Xdawn+LDA,0.7172211808809746
376,0.82,1.4040229885057474,11,5,Xdawn+RG+MDM,0.755534793814433
377,0.8,1.3843137254901963,11,5,Xdawn+RG+LDA,0.7134278350515464
378,0.8,1.4106060606060606,11,5,Xdawn+RG+SVC,0.6604896907216495
379,0.82,1.4092592592592597,11,5,Xdawn+LDA,0.7169909793814433
380,0.89,1.452688172043011,11,6,Xdawn+RG+MDM,0.7673969072164949
381,0.83,1.4672222222222226,11,6,Xdawn+RG+LDA,0.6963774341351661
382,0.81,1.4470238095238097,11,6,Xdawn+RG+SVC,0.6475658648339061
383,0.89,1.4279569892473123,11,6,Xdawn+LDA,0.7313788659793814
384,0.78,1.4825757575757577,11,7,Xdawn+RG+MDM,0.7534874355670103
385,0.84,1.4575757575757577,11,7,Xdawn+RG+LDA,0.6816929768041237
386,0.72,1.4027777777777777,11,7,Xdawn+RG+SVC,0.6392880154639176
387,0.97,1.380666666666667,11,7,Xdawn+LDA,0.7387242268041236
388,0.82,1.478030303030303,11,8,Xdawn+RG+MDM,0.7783965390279823
389,0.82,1.3527777777777774,11,8,Xdawn+RG+LDA,0.7152153902798233
390,0.79,1.4087719298245611,11,8,Xdawn+RG+SVC,0.6791237113402062
391,0.86,1.4032051282051283,11,8,Xdawn+LDA,0.7679768041237114
392,0.83,1.4805555555555556,11,9,Xdawn+RG+MDM,0.7848475085910653
393,0.92,1.3733333333333333,11,9,Xdawn+RG+LDA,0.7332903780068729
394,0.88,1.4026315789473685,11,9,Xdawn+RG+SVC,0.6743019759450172
395,0.88,1.4416666666666664,11,9,Xdawn+LDA,0.8023410652920961
396,0.48,1.455392156862745,12,1,Xdawn+RG+MDM,0.582046207658321
397,0.62,1.4154761904761908,12,1,Xdawn+RG+LDA,0.5620351620029455
398,0.34,1.3396296296296297,12,1,Xdawn+RG+SVC,0.5107234904270986
399,0.48,1.4294871794871797,12,1,Xdawn+LDA,0.5634618924889544
400,0.52,1.5029761904761902,12,2,Xdawn+RG+MDM,0.6273047184773989
401,0.46,1.5067901234567902,12,2,Xdawn+RG+LDA,0.6002874702616972
402,0.48,1.3394736842105268,12,2,Xdawn+RG+SVC,0.5253320777160984
403,0.62,1.4760416666666667,12,2,Xdawn+LDA,0.6020965503568596
404,0.65,1.5546875,12,3,Xdawn+RG+MDM,0.6540914948453609
405,0.56,1.43125,12,3,Xdawn+RG+LDA,0.5979542525773196
406,0.48,1.3609375,12,3,Xdawn+RG+SVC,0.5397390463917525
407,0.52,1.5182795698924734,12,3,Xdawn+LDA,0.6053694158075601
408,0.59,1.5077777777777783,12,4,Xdawn+RG+MDM,0.6698102155576382
409,0.73,1.4706896551724138,12,4,Xdawn+RG+LDA,0.6181993908153702
410,0.52,1.392929292929293,12,4,Xdawn+RG+SVC,0.562101686972821
411,0.5,1.440686274509804,12,4,Xdawn+LDA,0.6063378631677601
412,0.57,1.4961538461538462,12,5,Xdawn+RG+MDM,0.6807409793814433
413,0.72,1.4511904761904764,12,5,Xdawn+RG+LDA,0.6412113402061856
414,0.57,1.3820512820512822,12,5,Xdawn+RG+SVC,0.5639175257731959
415,0.6,1.430952380952381,12,5,Xdawn+LDA,0.609909793814433
416,0.69,1.4946666666666666,12,6,Xdawn+RG+MDM,0.6837342497136312
417,0.61,1.4444444444444442,12,6,Xdawn+RG+LDA,0.6253865979381443
418,0.5,1.4425287356321845,12,6,Xdawn+RG+SVC,0.567024627720504
419,0.5,1.4759259259259256,12,6,Xdawn+LDA,0.5952892325315006
420,0.66,1.4041666666666666,12,7,Xdawn+RG+MDM,0.6902061855670103
421,0.56,1.4072916666666668,12,7,Xdawn+RG+LDA,0.6246134020618557
422,0.47,1.3507936507936507,12,7,Xdawn+RG+SVC,0.5499436211340206
423,0.59,1.5506410256410261,12,7,Xdawn+LDA,0.6076353092783505
424,0.71,1.3944444444444446,12,8,Xdawn+RG+MDM,0.696060382916053
425,0.61,1.4114583333333333,12,8,Xdawn+RG+LDA,0.6263438880706922
426,0.46,1.3774509803921569,12,8,Xdawn+RG+SVC,0.5710972017673048
427,0.5,1.4302083333333333,12,8,Xdawn+LDA,0.609738586156112
428,0.67,1.4631578947368422,12,9,Xdawn+RG+MDM,0.7052405498281786
429,0.62,1.419607843137255,12,9,Xdawn+RG+LDA,0.6320983676975944
430,0.38,1.3722222222222222,12,9,Xdawn+RG+SVC,0.5472293814432989
431,0.67,1.4098039215686273,12,9,Xdawn+LDA,0.6007731958762886
